id|category|app|what_it_does|auth_methods|access|surface|mcp|verdict|blocker|confidence|evidence
11|Support and Helpdesk|Zendesk|Customer support suite for tickets, users, help center and messaging.|OAuth2; API token; basic auth with token|Self-serve trial and developer docs; admins control token/OAuth enablement.|Very broad REST APIs across Support, Guide, Talk, Sell, Sunshine and webhooks.|No official MCP found.|Ready|Many products and permission models; must bound tool surface.|High|https://developer.zendesk.com/api-reference/; https://developer.zendesk.com/documentation/api-basics/authentication/creating-and-using-oauth-tokens-with-the-api/
12|Support and Helpdesk|Intercom|Customer messaging, support inbox and help center platform.|OAuth2; access token|Self-serve developer apps and test workspaces; app store review for public distribution.|Broad REST API for contacts, conversations, tickets, articles, events and webhooks.|No official MCP found.|Ready|API versioning and conversation/ticket model differences.|High|https://developers.intercom.com/; https://developers.intercom.com/docs/references/rest-api/api.intercom.io/authentication/
13|Support and Helpdesk|Freshdesk|Helpdesk platform for tickets, contacts, agents and support operations.|API key over Basic auth; OAuth2 for Freshworks apps|Self-serve Freshdesk trial/account; OAuth apps require Freshworks developer setup.|Broad REST API for tickets, contacts, companies, agents, groups, SLAs and webhooks.|No official MCP found.|Ready|Product-family split across Freshdesk/Freshservice/Freshsales.|High|https://developers.freshdesk.com/api/; https://developers.freshdesk.com/api/#authentication
14|Support and Helpdesk|Front|Shared inbox and customer operations platform for messages, contacts and channels.|OAuth2; API token|Self-serve developer tokens for workspaces; OAuth app review for marketplace use.|Broad REST API for messages, conversations, inboxes, contacts, teammates and rules.|No official MCP found.|Ready|Channel permissions and irreversible send/reply actions need guardrails.|High|https://dev.frontapp.com/; https://dev.frontapp.com/reference/authentication
15|Support and Helpdesk|Pylon|B2B customer support platform for Slack, email, chat and account intelligence.|API key / bearer token|Docs are public, but product access usually starts through a demo/sales-led workspace.|REST API is documented for customers, issues, users, messages and webhooks.|No official MCP found.|Ready with access|Commercial access to workspace/API key is the main gate.|Medium|https://docs.usepylon.com/pylon-docs/; https://usepylon.com/
16|Support and Helpdesk|LiveAgent|Helpdesk/live chat suite for tickets, chats, calls and knowledge base.|API key|Self-serve trial can generate API keys; admin permissions required.|Documented REST API for tickets, chats, contacts, agents and departments.|No official MCP found.|Ready|Older helpdesk API patterns and product-specific endpoint naming.|High|https://support.liveagent.com/840770-Complete-API-reference; https://support.liveagent.com/802463-REST-API
17|Support and Helpdesk|Plain|Developer-first customer support platform for issues, customers and events.|Bearer API key|Self-serve workspace and API keys are available; production usage tied to plan/workspace.|GraphQL API and API reference for customers, threads, issues, events and webhooks.|No official MCP found.|Ready|GraphQL schema needs careful tool chunking for agent UX.|High|https://www.plain.com/docs/api-reference; https://www.plain.com/docs/graphql/authentication
18|Support and Helpdesk|Help Scout|Customer support mailbox and docs platform.|OAuth2; app access tokens|Self-serve developer apps and account trials; app marketplace review for public apps.|REST APIs for mailboxes, conversations, customers, Docs and webhooks.|No official MCP found.|Ready|Mailbox access and OAuth refresh handling.|High|https://developer.helpscout.com/; https://developer.helpscout.com/mailbox-api/overview/authentication/
19|Support and Helpdesk|Gorgias|Ecommerce helpdesk for customer support conversations and orders.|Basic auth; API key/password; OAuth2 for apps|Self-serve for customers/developers, but useful API access depends on a Gorgias account/plan.|REST API covers customers, tickets, messages, tags, integrations and ecommerce context.|No official MCP found.|Ready|Ecommerce-specific permissions and ticket action safety.|High|https://developers.gorgias.com/; https://developers.gorgias.com/reference/authentication
20|Support and Helpdesk|Gladly|Enterprise customer service platform for conversations, people and support workflows.|OAuth2; bearer token|Gated enterprise/customer access; API credentials are provisioned through Gladly/admins.|Documented REST APIs for conversations, customers, tasks and webhooks.|No official MCP found.|Outreach needed|Enterprise sales/customer gate and irreversible customer messaging actions.|Medium|https://developer.gladly.com/; https://www.gladly.com/
21|Communications and Messaging|Slack|Team messaging and collaboration platform with channels, users and workflows.|OAuth2; bot/user tokens; app-level tokens|Self-serve Slack app creation; workspace admin approval may be required.|Very broad Web API, Events API, Socket Mode, workflows and webhooks.|Official and community MCP servers exist in the ecosystem; not core Slack-hosted product docs.|Ready|Workspace install approval and high-risk message/posting scopes.|High|https://api.slack.com/apis; https://api.slack.com/authentication
22|Communications and Messaging|Twilio|Communications platform for SMS, voice, WhatsApp, email and verification.|Account SID/Auth Token; API key/secret; OAuth2 in selected products|Self-serve signup with trial credits; production sending may require compliance registration.|Very broad REST APIs across messaging, voice, verify, conversations, SendGrid and more.|No official Twilio-wide MCP found.|Ready|Messaging compliance, phone number registration and channel-specific rules.|High|https://www.twilio.com/docs/usage/api; https://www.twilio.com/docs/iam/api-key
23|Communications and Messaging|Zoho Cliq|Team chat and collaboration product in the Zoho suite.|OAuth2|Self-serve Zoho developer console and Cliq org; admin scopes apply.|Documented REST API for chats, channels, bots, commands, messages and organization data.|No official MCP found.|Ready|Zoho data center/scopes and bot install flow.|High|https://www.zoho.com/cliq/help/restapi/v2/; https://api-console.zoho.com/
24|Communications and Messaging|Lark (Larksuite)|Collaboration suite for messaging, docs, calendar and workplace apps.|OAuth2; app access token; tenant access token|Self-serve developer console; marketplace or enterprise deployment can require review/admin approval.|Broad Open Platform APIs across messaging, docs, calendar, approvals and contacts.|No official MCP found.|Ready|Tenant/app token model and enterprise app approval.|High|https://open.larksuite.com/document/home/index; https://open.larksuite.com/document/server-docs/api-call-guide/calling-process
25|Communications and Messaging|Pumble|Team chat app for channels, direct messages and collaboration.|Unknown / no verified public API auth|No verified public developer API documentation found; integrations are mostly app-level/Zapier-style.|No public REST or GraphQL surface verified from official docs.|No official MCP found.|Not buildable yet|Public API docs/auth could not be verified; needs vendor confirmation.|Low|https://pumble.com/help/; https://pumble.com/integrations/
26|Communications and Messaging|Discord|Community chat platform for servers, channels, bots and interactions.|OAuth2; bot token|Self-serve developer portal; app verification required for large public bots/privileged intents.|Broad REST, Gateway WebSocket, Interactions and webhooks.|Community MCP servers exist; no official Discord MCP found.|Ready|Privileged intents, bot safety and rate limits.|High|https://discord.com/developers/docs/intro; https://discord.com/developers/docs/topics/oauth2
27|Communications and Messaging|Telegram|Messaging platform with bot APIs and MTProto client APIs.|Bot token; MTProto auth keys|BotFather makes bot tokens self-serve; full client API requires phone/account flow.|Bot API is broad for messages, media, payments and updates; MTProto is deeper but heavier.|Community MCP servers exist; no official Telegram MCP found.|Ready|Bot-only scope limits unless building MTProto client tooling.|High|https://core.telegram.org/bots/api; https://core.telegram.org/api
28|Communications and Messaging|WhatsApp Business|Business messaging channel on Meta's Graph API.|OAuth2 access token; system user token|Self-serve Cloud API onboarding exists, but production messaging needs business verification, phone setup and template approval.|Graph API surface for messages, templates, media, phone numbers and webhooks.|No official MCP found.|Ready with compliance|Business verification, template approval and messaging policy compliance.|High|https://developers.facebook.com/docs/whatsapp; https://developers.facebook.com/docs/whatsapp/cloud-api/get-started
29|Communications and Messaging|Aircall|Cloud phone system and call center platform.|Basic auth/API ID and token; OAuth2 for public apps|Self-serve developer docs; API credentials require an Aircall account/admin.|REST API covers calls, users, teams, numbers, contacts, tags and webhooks.|No official MCP found.|Ready|Telephony actions and call recording data require careful permissioning.|High|https://developer.aircall.io/api-references/; https://developer.aircall.io/api-references/#authentication
30|Communications and Messaging|Vonage|Communications APIs for SMS, voice, video, verify and network APIs.|API key/secret; JWT; OAuth2 for some APIs|Self-serve developer account and free credits; production depends on channel compliance.|Very broad REST APIs and SDKs across messaging, voice, verification and video.|No official MCP found.|Ready|Channel compliance and mixed auth models by product.|High|https://developer.vonage.com/en/api; https://developer.vonage.com/en/getting-started/concepts/authentication
31|Marketing, Ads, Email and Social|Google Ads|Advertising platform for campaigns, keywords, reporting and conversion data.|OAuth2; developer token|Developer token is self-serve to request, but production/basic access requires Google review and manager account setup.|Very broad Google Ads API with services, reports, GAQL, batch jobs and webhooks-like conversion uploads.|No official MCP found.|Ready with review|Developer token approval and Ads account compliance.|High|https://developers.google.com/google-ads/api/docs/start; https://developers.google.com/google-ads/api/docs/access-levels
32|Marketing, Ads, Email and Social|Meta Ads|Meta Marketing API for campaigns, ad accounts, creatives, audiences and insights.|OAuth2 access tokens; system user tokens|Docs are public, but advanced permissions require app review, business verification and asset access.|Very broad Graph/Marketing APIs for campaign management, insights, creatives and audiences.|No official MCP found.|Ready with review|App review, business verification and dangerous write scopes.|High|https://developers.facebook.com/docs/marketing-apis; https://developers.facebook.com/docs/marketing-api/overview
33|Marketing, Ads, Email and Social|LinkedIn Ads|LinkedIn Marketing APIs for ads, campaigns, audiences and reporting.|OAuth2|Gated: Marketing Developer Platform access and product permissions require approval.|Broad REST APIs for campaign management, ad analytics, audiences and organizations.|No official MCP found.|Outreach/review needed|LinkedIn product access approval is the main blocker.|High|https://learn.microsoft.com/en-us/linkedin/marketing/; https://learn.microsoft.com/en-us/linkedin/shared/authentication/authentication
34|Marketing, Ads, Email and Social|GoHighLevel|Agency CRM/marketing automation platform for contacts, funnels, calendars and messaging.|OAuth2; location access token; API key in legacy flows|Self-serve for HighLevel users/developers, but most useful access requires agency/location account.|Broad REST API documented in Stoplight for contacts, opportunities, calendars, conversations and SaaS objects.|No official MCP found.|Ready|Agency/location token model and version migration from legacy APIs.|High|https://highlevel.stoplight.io/docs/integrations/; https://highlevel.stoplight.io/docs/integrations/ZG9jOjI2MzUzOTE4-oauth-2-0
35|Marketing, Ads, Email and Social|Mailchimp|Email marketing and audience automation platform.|API key; OAuth2|Self-serve account and API keys; OAuth app review for public integrations.|Broad Marketing API for audiences, campaigns, automations, ecommerce and reports.|No official MCP found.|Ready|Data center-specific API host and audience schema quirks.|High|https://mailchimp.com/developer/marketing/api/; https://mailchimp.com/developer/marketing/guides/access-user-data-oauth-2/
36|Marketing, Ads, Email and Social|Klaviyo|Marketing automation platform for ecommerce email/SMS and customer profiles.|Private API key; OAuth2 for apps|Self-serve developer/private keys; public app marketplace requires review.|Broad REST API for profiles, events, lists, segments, campaigns, flows and metrics.|No official MCP found.|Ready|Metric/event volume and consent-sensitive email/SMS actions.|High|https://developers.klaviyo.com/en/docs; https://developers.klaviyo.com/en/docs/authenticate_
37|Marketing, Ads, Email and Social|systeme.io|All-in-one funnel, email, course and online business platform.|Public API key / bearer token|Public API keys are self-serve in account settings; plan/feature limits may apply.|Documented REST API for selected contacts, tags, funnels, sales and course resources.|Official MCP-style endpoint is documented by the vendor ecosystem; REST API is agent-friendly.|Ready|Surface is narrower than HubSpot/Klaviyo and docs are still maturing.|Medium|https://developer.systeme.io/reference/api; https://help.systeme.io/article/2323-how-to-create-a-public-api-key-on-systeme-io
38|Marketing, Ads, Email and Social|Pinterest|Visual discovery and ads platform for pins, boards, catalogs and ads.|OAuth2|Self-serve developer apps; Ads and commerce capabilities may require business account/review.|REST API v5 covers pins, boards, catalogs, ads, audiences and analytics.|No official MCP found.|Ready with review|Ads/business permissions and rate limits.|High|https://developers.pinterest.com/docs/api/v5/; https://developers.pinterest.com/docs/getting-started/authentication/
39|Marketing, Ads, Email and Social|Threads (Meta)|Meta social platform API for publishing, replies and insights.|OAuth2 access tokens|Self-serve app setup, but permissions and production use require Meta app review/business setup.|Documented Graph-style API is narrower than Facebook/Instagram, focused on publishing and insights.|No official MCP found.|Ready with review|Meta app review and narrower API surface.|High|https://developers.facebook.com/docs/threads; https://developers.facebook.com/docs/threads/get-started
40|Marketing, Ads, Email and Social|SendGrid|Transactional and marketing email platform owned by Twilio.|API key|Self-serve account/API keys; sending production volume may require sender verification/compliance.|Broad REST API for mail send, templates, contacts, stats, suppressions and webhooks.|No official MCP found.|Ready|Email deliverability, sender verification and suppression safety.|High|https://www.twilio.com/docs/sendgrid/api-reference; https://www.twilio.com/docs/sendgrid/for-developers/sending-email/api-getting-started
41|Ecommerce|Shopify|Commerce platform for online stores, orders, products, customers and storefronts.|OAuth2; Admin API access tokens|Self-serve partner account, dev stores and app creation; production marketplace has review.|Very broad Admin GraphQL/REST, Storefront API, Functions, webhooks and app extensions.|Official Shopify AI Toolkit and MCP resources exist.|Ready|OAuth scopes, shop installation flow and safe write actions.|High|https://shopify.dev/docs/api; https://shopify.dev/docs/apps/build/ai-toolkit
42|Ecommerce|WooCommerce|WordPress ecommerce plugin for products, orders, coupons and customers.|Consumer key/secret; Basic auth over HTTPS; OAuth1 legacy|Self-serve on any WooCommerce store; requires store admin to create keys.|REST API covers products, orders, customers, coupons, reports and settings.|Community MCP wrappers exist; no official WooCommerce MCP found.|Ready|Self-hosted variation, plugin conflicts and per-store permissions.|High|https://woocommerce.com/document/woocommerce-rest-api/; https://woocommerce.github.io/woocommerce-rest-api-docs/
43|Ecommerce|BigCommerce|Hosted ecommerce platform for catalogs, orders, carts and storefronts.|OAuth2; store API access tokens|Self-serve sandbox/trial and developer portal; marketplace app review for public apps.|Broad REST and GraphQL APIs for catalog, orders, customers, carts, checkout and scripts.|No official MCP found.|Ready|Store hash/token model and marketplace review for public apps.|High|https://developer.bigcommerce.com/docs/rest-management; https://developer.bigcommerce.com/docs/start/authentication
44|Ecommerce|Salesforce Commerce Cloud|Enterprise B2C/B2B commerce platform from Salesforce.|OAuth2; SLAS tokens; Account Manager credentials|Gated to Salesforce Commerce customers/partners; sandbox and credentials are not public self-serve.|Broad REST APIs for commerce, shopper, admin, OCAPI and B2B commerce.|No official MCP found.|Outreach needed|Customer/partner sandbox access and complex Salesforce commerce identity.|High|https://developer.salesforce.com/docs/commerce; https://developer.salesforce.com/docs/commerce/commerce-api
45|Ecommerce|Magento (Adobe Commerce)|Open-source and Adobe-hosted ecommerce platform for catalogs, carts and orders.|Bearer integration token; OAuth1; admin/customer tokens|Self-serve for open-source Magento; Adobe Commerce Cloud is paid/enterprise.|Broad REST and GraphQL APIs for catalog, checkout, orders, customers and admin resources.|Community MCP wrappers exist; no official Adobe Commerce MCP found.|Ready|Deployment/version differences and admin token safety.|High|https://developer.adobe.com/commerce/webapi/rest/; https://developer.adobe.com/commerce/webapi/get-started/authentication/
46|Ecommerce|Squarespace|Website and commerce platform with products, orders, profiles and transactions.|OAuth2; API key for selected APIs|Developer docs are public, but APIs require eligible Squarespace plans/sites and app registration.|Moderate REST API for commerce, inventory, orders, profiles and transactions.|No official MCP found.|Ready with plan|Plan eligibility and narrower surface than Shopify/BigCommerce.|Medium|https://developers.squarespace.com/; https://developers.squarespace.com/commerce-apis
47|Ecommerce|Ecwid|Ecommerce storefront platform for products, orders and store settings.|OAuth2; secret access token|Self-serve developer app and store signup; public app distribution has review.|Broad REST API for catalog, orders, customers, carts, profiles and webhooks.|No official MCP found.|Ready|Store-scoped OAuth and app marketplace review for distribution.|High|https://api-docs.ecwid.com/reference; https://api-docs.ecwid.com/reference/authentication
48|Ecommerce|Gumroad|Creator commerce platform for digital products, sales and subscriptions.|OAuth2; access token|Self-serve app/API access for creators; API surface is intentionally limited.|Documented REST API for products, sales, subscribers, licenses and resource subscriptions.|No official MCP found.|Ready|Limited endpoint breadth and creator-account context.|High|https://gumroad.com/api; https://gumroad.com/api#authentication
49|Ecommerce|Amazon Selling Partner|Amazon marketplace seller/vendor APIs for listings, orders, reports and feeds.|Login with Amazon OAuth2; AWS SigV4 IAM|Gated: developer profile, app registration/review, seller/vendor account and role approval required.|Very broad SP-API for orders, reports, catalog, listings, feeds, finance and notifications.|No official MCP found.|Outreach/review needed|Developer profile approval, AWS signing, restricted data tokens and compliance.|High|https://developer-docs.amazon.com/sp-api/; https://developer-docs.amazon.com/sp-api/docs/registering-your-application
50|Ecommerce|fanbasis|Creator monetization and storefront platform.|Unknown / no verified public API auth|No public developer API docs found; website is public but docs/auth were not discoverable.|No verified public REST/GraphQL surface.|No official MCP found.|Not buildable yet|Vendor confirmation or partner documentation needed.|Low|https://www.fanbasis.com/
51|Data, SEO and Scraping|DataForSEO|SEO and SERP data APIs for keywords, rankings, backlinks and business data.|Basic auth with API login/password|Self-serve signup with paid credits; sandbox-like trial credits may be available.|Very broad REST APIs for SERP, keywords, backlinks, on-page, content and business data.|No official MCP found.|Ready|Cost control and task polling/async workflows.|High|https://docs.dataforseo.com/v3/; https://dataforseo.com/apis
52|Data, SEO and Scraping|SE Ranking|SEO platform with rankings, audits, backlinks, keywords and competitor data.|API key / token|API is available to SE Ranking accounts and usually paid plan/API add-on dependent.|Documented REST API for projects, rankings, competitors, keywords and reports.|No official MCP found.|Ready with plan|Paid-plan/API quota gate.|High|https://seranking.com/api/; https://seranking.com/api.html
53|Data, SEO and Scraping|Ahrefs|SEO data platform for backlinks, keywords, site explorer and rank data.|API token|Gated to paid API subscriptions/eligible plans; not generally free self-serve.|Documented API is broad for SEO metrics but commercially gated.|No official MCP found.|Outreach/paid needed|High cost/API subscription gate.|High|https://ahrefs.com/api; https://docs.ahrefs.com/
54|Data, SEO and Scraping|MrScraper|Web scraping API/platform for extracting structured data from web pages.|API key|Self-serve signup and API keys are documented.|REST API focused on scrape jobs, AI extraction and structured results.|No official MCP found.|Ready|Anti-bot reliability, legal use controls and target-site variance.|Medium|https://docs.mrscraper.com/; https://mrscraper.com/
55|Data, SEO and Scraping|Apify|Actor-based web automation, scraping and data extraction platform.|API token|Self-serve account/free tier and API tokens.|Very broad REST API for actors, tasks, runs, datasets, key-value stores and webhooks.|Official/community MCP servers exist around Apify actors.|Ready|Selecting safe actor tools and controlling run cost.|High|https://docs.apify.com/api/v2; https://docs.apify.com/platform/integrations/mcp
56|Data, SEO and Scraping|Firecrawl|Web crawling, scraping and LLM-ready page extraction API.|API key|Self-serve API key/free tier; paid plans for volume.|REST API focused on scrape, crawl, map, search and extraction jobs.|Official Firecrawl MCP server exists.|Ready|Credit use and website crawl legality/robots concerns.|High|https://docs.firecrawl.dev/; https://docs.firecrawl.dev/integrations/mcp
57|Data, SEO and Scraping|Bright Data|Proxy, scraping browser and web data collection platform.|API token; username/password zone credentials|Self-serve signup exists, but data products and high-risk use may require paid/KYC/compliance review.|Broad APIs for proxies, datasets, web unlocker, scraping browser and SERP.|Official/community MCP resources exist in the ecosystem.|Ready with compliance|Compliance/KYC, cost and target-use restrictions.|High|https://docs.brightdata.com/; https://brightdata.com/
58|Data, SEO and Scraping|Sherlock|Open-source CLI for finding usernames across social networks.|No hosted auth; local CLI inputs|Fully self-serve open-source tool; no vendor credentials required.|No hosted API; callable as a local CLI/library wrapper.|No official MCP, but trivial local MCP wrapper possible.|Ready|It is a CLI, not SaaS; must package as local skill/tool with rate limiting.|High|https://github.com/sherlock-project/sherlock
59|Data, SEO and Scraping|Waterfall.io|Contact and company intelligence/enrichment platform.|Unknown / partner-issued credentials likely|No public API docs found; product appears sales-led/partner gated.|No verified public API surface.|No official MCP found.|Outreach needed|Public docs/auth not discoverable; likely vendor partnership needed.|Low|https://www.waterfall.io/
60|Data, SEO and Scraping|Clay|Data enrichment and workflow platform for GTM teams.|API key; webhooks; workspace tokens|Docs exist, but meaningful API use depends on paid workspace and credits.|Moderate API/webhook surface for tables, actions, enrichment and integrations.|No official MCP found.|Ready with plan|Credit costs, workspace permissions and still-evolving API docs.|Medium|https://docs.clay.com/; https://www.clay.com/
61|Developer, Infra and Data platforms|GitHub|Code hosting and collaboration platform for repos, issues, pull requests and actions.|OAuth2; GitHub App; fine-grained PAT|Self-serve developer apps and tokens; org admins may restrict app installation.|Very broad REST and GraphQL APIs plus webhooks and GitHub Apps.|Official GitHub MCP server exists.|Ready|Permission scopes and organization app approval.|High|https://docs.github.com/en/rest; https://github.com/github/github-mcp-server
62|Developer, Infra and Data platforms|Vercel|Frontend cloud platform for deployments, projects, domains and logs.|Bearer token; OAuth2 for integrations|Self-serve account/tokens; team/org permissions apply.|Broad REST API for projects, deployments, domains, teams, env vars and integrations.|Official Vercel MCP server exists.|Ready|Deployment mutations need confirmation and team-scoped permissions.|High|https://vercel.com/docs/rest-api; https://vercel.com/docs/agent-resources/vercel-mcp
63|Developer, Infra and Data platforms|Netlify|Web hosting and deployment platform for sites, builds, functions and forms.|OAuth2; personal access token|Self-serve account/tokens; team/admin permissions apply.|Documented REST API for sites, deploys, builds, DNS, forms and functions.|No official MCP found.|Ready|Deployment and DNS mutations need strong guardrails.|High|https://docs.netlify.com/api/get-started/; https://open-api.netlify.com/
64|Developer, Infra and Data platforms|Cloudflare|Internet infrastructure platform for DNS, Workers, security and CDN.|API token; API key; OAuth for managed MCP|Self-serve account/API tokens; some products require paid plans.|Extremely broad REST API across zones, DNS, Workers, Zero Trust, R2, D1 and more.|Official Cloudflare managed MCP servers exist.|Ready|Huge tool surface and high-impact write actions.|High|https://developers.cloudflare.com/api/; https://developers.cloudflare.com/agents/model-context-protocol/cloudflare/servers-for-cloudflare/
65|Developer, Infra and Data platforms|Supabase|Backend platform for Postgres, auth, storage, edge functions and realtime.|Project API keys/JWT; personal access token; OAuth2 for management/MCP|Self-serve free projects and tokens.|Broad platform APIs plus generated PostgREST, Auth, Storage, Realtime and Management APIs.|Official Supabase MCP server exists.|Ready|Database safety, row-level security and project-scoped credentials.|High|https://supabase.com/docs/reference/api; https://supabase.com/docs/guides/ai-tools/mcp
66|Developer, Infra and Data platforms|Neo4j|Graph database platform and Aura cloud service.|Basic auth for DB; OAuth2/client credentials for Aura APIs|Self-serve Aura free/trial; enterprise features require paid/admin.|APIs span Bolt/HTTP query, Aura management, GraphQL library and drivers.|Community MCP servers exist; no official broad Neo4j MCP verified.|Ready|DB credentials vs cloud-management APIs; query safety.|High|https://neo4j.com/docs/; https://neo4j.com/docs/aura/platform/api/
67|Developer, Infra and Data platforms|Snowflake|Cloud data warehouse and data platform.|Key-pair JWT; OAuth; username/password; PAT/session tokens|Self-serve trials exist, but org/account/admin setup is required for production.|Broad SQL API, Snowpark, REST APIs, drivers and Native Apps.|Official/community Snowflake MCP resources exist but account setup is still required.|Ready with admin|Account provisioning, network policies and sensitive data controls.|High|https://docs.snowflake.com/en/developer-guide/sql-api/index; https://docs.snowflake.com/en/user-guide/key-pair-auth
68|Developer, Infra and Data platforms|MongoDB Atlas|Managed MongoDB cloud with clusters, projects, backups and data APIs.|API keys with digest; OAuth2 service accounts; database username/password|Self-serve free cluster and API keys; org roles/admin controls apply.|Broad Atlas Admin API, Data API, Search, charts and database drivers.|No official Atlas MCP found; community MongoDB MCP exists.|Ready|Project/org permissions and data-access safety.|High|https://www.mongodb.com/docs/atlas/api/; https://www.mongodb.com/docs/atlas/api/authentication/
69|Developer, Infra and Data platforms|Datadog|Observability platform for metrics, logs, traces, incidents and monitors.|API key plus application key|Self-serve trial/account; org admins control keys and scopes.|Very broad REST API for monitors, metrics, logs, dashboards, incidents, SLOs and more.|No official Datadog MCP found.|Ready|High-impact alert/monitor edits and site-region handling.|High|https://docs.datadoghq.com/api/latest/; https://docs.datadoghq.com/account_management/api-app-keys/
70|Developer, Infra and Data platforms|Sentry|Error monitoring and performance platform for projects, issues and releases.|Auth token; OAuth2|Self-serve account and internal integrations; org admins may restrict installs.|Broad REST API for issues, projects, events, releases, metrics and webhooks.|No official Sentry MCP found.|Ready|Issue mutation safety and org/project token scoping.|High|https://docs.sentry.io/api/; https://docs.sentry.io/product/integrations/integration-platform/
71|Productivity and Project Management|Notion|Workspace docs, databases and knowledge management platform.|OAuth2; internal integration token|Self-serve integrations; page/database access must be granted by workspace users.|Broad REST API for pages, databases, blocks, comments, users and search.|Official MCP connector exists in ecosystem; Notion API is agent-ready.|Ready|Workspace sharing model and nested block traversal.|High|https://developers.notion.com/; https://developers.notion.com/docs/authorization
72|Productivity and Project Management|Airtable|No-code database/spreadsheet platform for bases, tables and automations.|OAuth2; personal access token|Self-serve developer tokens/apps; workspace admins can restrict access.|Broad REST API for records, bases, schema, webhooks and enterprise admin.|No official MCP found.|Ready|Base-specific schema discovery and rate limits.|High|https://airtable.com/developers/web/api/introduction; https://airtable.com/developers/web/guides/personal-access-tokens
